indice_desenvolvimento_cidade,horas_formacao,anos_exp_num,genero_enc,experiencia_relevante_enc,inscricao_universidade_enc,nivel_educacao_enc,area_formacao_enc,tipo_empresa_enc,dimensao_empresa_enc,anos_desde_ultimo_emprego_enc,real,previsto_lr,previsto_arvore,previsto_rf,previsto_rf_opt
0.698,42,7.0,2,0,0,5,1,1,7,6,1,1,0,0,0
0.6659999999999999,134,6.0,2,0,3,4,5,6,4,0,0,0,1,0,0
0.624,4,3.0,2,0,3,5,1,1,0,0,1,0,1,1,1
0.926,40,21.0,2,0,3,4,1,1,0,0,0,0,0,0,0
0.92,40,9.0,0,1,3,3,2,2,4,3,0,0,0,0,0
0.92,78,16.0,2,0,3,4,1,1,3,5,0,0,0,0,0
0.926,131,21.0,2,0,3,5,1,0,7,5,0,0,0,0,0
0.92,42,8.0,0,0,3,5,1,1,3,6,0,0,0,0,0
0.624,32,7.0,0,0,3,4,1,1,3,1,0,1,1,1,1
0.878,29,21.0,2,0,3,4,1,0,7,4,0,1,1,1,1
0.624,112,4.0,0,0,3,4,1,1,4,1,1,1,1,1,1
0.762,47,3.0,2,0,1,4,1,0,7,1,1,1,1,1,1
0.92,90,21.0,2,0,3,4,1,6,0,6,0,0,0,0,0
0.924,75,7.0,1,0,3,5,1,6,8,2,0,0,0,0,0
0.624,92,8.0,1,0,3,5,1,1,5,0,0,0,1,1,1
0.55,166,14.0,2,0,3,5,1,2,1,0,1,0,1,0,0
0.926,20,3.0,0,1,0,3,2,0,7,4,0,0,0,0,0
0.897,47,9.0,2,0,3,5,1,1,3,1,0,0,0,0,0
0.92,50,20.0,2,0,3,4,1,1,6,0,1,0,0,0,0
0.738,48,7.0,2,0,3,4,1,5,8,0,1,0,0,0,0
0.925,4,20.0,2,0,3,4,0,1,4,1,0,0,0,0,0
0.92,19,21.0,2,0,3,4,1,0,7,1,0,1,1,1,1
0.74,102,3.0,2,0,3,4,1,1,3,0,0,0,0,1,1
0.55,12,3.0,2,0,3,2,2,1,4,0,0,0,1,1,1
0.698,37,4.0,2,1,3,3,2,0,7,6,0,1,0,0,0
0.754,96,3.0,2,1,3,4,1,1,3,0,0,1,0,1,1
0.78,28,16.0,2,1,3,4,1,1,4,5,1,0,0,0,0
0.55,12,16.0,0,0,3,5,1,1,4,5,1,0,1,0,1
0.915,84,2.0,2,1,0,4,1,0,7,6,0,1,1,1,1
0.855,39,4.0,0,0,3,5,1,5,0,0,0,0,0,0,0
0.895,55,4.0,2,0,3,4,1,6,4,0,0,0,0,0,0
0.925,19,21.0,2,0,3,4,1,1,2,5,0,0,0,0,0
0.92,89,8.0,2,0,3,4,1,0,7,3,1,1,1,1,1
0.762,67,21.0,2,0,3,4,1,0,7,5,0,1,1,1,1
0.92,48,18.0,2,0,3,4,1,1,1,0,0,0,0,0,0
0.624,77,15.0,2,0,3,5,1,1,4,2,1,0,1,0,1
0.92,27,5.0,2,1,0,3,2,0,7,0,0,0,0,0,1
0.92,86,1.0,2,1,3,4,1,0,7,6,0,1,1,1,1
0.848,54,21.0,2,1,3,4,1,0,7,0,1,1,1,1,1
0.92,16,15.0,2,1,3,4,1,1,2,0,0,0,0,0,0
0.924,155,3.0,2,1,0,3,2,0,0,0,0,0,0,0,0
0.698,138,4.0,0,1,3,4,1,1,3,0,1,1,0,1,0
0.727,56,18.0,2,1,0,5,4,0,7,1,1,1,1,1,1
0.866,24,15.0,2,0,0,4,1,1,2,0,0,0,0,0,0
0.843,90,17.0,2,0,3,4,1,1,4,0,0,0,0,0,0
0.92,61,11.0,2,1,0,4,1,0,7,0,1,1,1,1,1
0.624,34,5.0,0,0,3,5,1,0,4,0,0,0,1,1,1
0.899,12,17.0,2,0,3,4,1,6,0,2,0,0,0,0,0
0.939,6,11.0,2,0,3,4,1,1,4,3,0,0,0,0,0
0.624,157,1.0,0,1,3,4,1,0,7,6,1,1,1,1,1
0.926,24,12.0,2,0,3,4,1,1,8,1,0,0,0,0,0
0.884,37,1.0,2,0,3,4,1,5,8,0,0,0,0,0,0
0.624,44,2.0,1,0,3,4,1,1,3,6,0,1,1,1,1
0.624,146,7.0,2,1,0,3,2,0,7,6,1,1,1,1,1
0.92,9,21.0,0,0,3,4,1,4,2,5,0,0,0,0,0
0.91,46,16.0,2,0,3,4,1,1,2,0,0,0,0,0,0
0.802,40,6.0,2,0,1,4,1,1,3,1,0,0,0,0,0
0.926,62,5.0,2,1,3,3,2,1,4,0,0,0,0,0,0
0.579,14,5.0,2,0,3,4,1,1,4,0,1,1,1,1,1
0.754,160,6.0,0,0,1,4,1,1,0,0,0,0,0,1,1
0.762,54,5.0,2,0,3,4,1,0,7,0,1,1,1,1,1
0.899,95,3.0,2,0,3,4,1,6,0,0,0,0,0,0,0
0.92,98,21.0,1,0,3,4,1,1,3,0,0,0,0,0,0
0.924,48,12.0,0,0,3,0,2,0,7,6,0,0,0,0,0
0.92,56,10.0,0,0,3,5,1,1,3,0,0,0,0,0,0
0.624,6,5.0,2,1,0,3,2,1,7,6,0,1,1,1,1
0.698,51,3.0,2,1,0,3,2,0,7,4,0,1,0,0,1
0.579,21,3.0,0,1,3,0,2,0,7,0,1,1,1,1,1
0.926,42,10.0,2,0,3,5,1,1,3,0,0,0,0,0,0
0.624,148,3.0,2,1,0,3,2,0,7,6,1,1,1,1,1
0.92,57,9.0,0,1,3,3,2,0,7,4,0,0,0,0,0
0.92,41,7.0,2,0,3,4,5,1,6,0,1,0,0,0,0
0.624,19,2.0,0,0,0,4,1,6,4,0,1,0,1,1,1
0.855,3,10.0,0,0,3,5,1,0,7,1,0,0,0,0,0
0.92,143,2.0,0,1,0,3,2,0,7,0,1,0,0,1,1
0.527,16,9.0,0,0,3,4,1,1,4,3,0,1,1,1,1
0.855,12,14.0,0,0,0,5,1,1,3,3,1,0,0,0,0
0.91,8,21.0,2,0,3,5,1,1,3,5,0,0,0,0,0
0.92,44,9.0,2,0,3,4,1,1,4,2,0,0,0,0,0
0.92,50,21.0,2,0,3,5,4,3,6,5,0,0,0,0,0
0.92,101,5.0,0,1,0,4,1,4,7,0,0,1,0,0,0
0.91,9,15.0,2,0,3,4,1,0,7,1,0,1,1,1,1
0.775,46,5.0,0,1,1,4,1,0,7,0,1,1,1,1,1
0.925,188,12.0,2,0,3,4,1,1,5,1,0,0,0,0,0
0.91,70,21.0,0,0,3,4,1,2,4,5,0,0,0,0,0
0.89,20,8.0,0,1,0,4,1,0,7,0,0,1,1,1,1
0.897,15,15.0,0,1,3,5,1,1,4,3,0,0,0,0,0
0.89,51,9.0,2,1,3,4,1,1,4,2,0,0,0,0,0
0.926,111,5.0,2,1,0,3,2,0,7,1,0,0,0,0,0
0.926,38,14.0,2,0,3,5,1,1,2,0,0,0,0,0,0
0.92,30,21.0,2,0,3,4,1,1,2,5,1,0,0,0,0
0.624,48,3.0,2,1,0,4,1,1,7,6,1,1,1,1,1
0.899,70,10.0,2,0,1,4,1,1,2,5,0,0,0,0,0
0.895,156,21.0,1,0,3,5,1,1,1,5,1,0,0,0,0
0.624,51,2.0,2,1,0,4,1,0,7,6,0,1,1,1,1
0.893,32,5.0,2,0,3,2,2,1,1,3,1,0,0,0,0
0.921,48,10.0,2,1,0,4,1,4,2,0,0,0,0,0,0
0.8270000000000001,15,13.0,2,0,3,5,1,1,2,6,0,0,0,0,0
0.924,7,9.0,2,0,3,4,1,1,4,0,0,0,0,0,0
0.92,139,21.0,2,0,3,4,1,4,2,0,0,0,0,0,0
0.897,22,4.0,0,1,2,0,2,0,7,4,0,0,0,0,0
0.92,6,21.0,2,0,3,5,1,6,1,5,0,0,0,0,0
0.897,15,7.0,2,0,3,4,1,6,0,0,0,0,0,0,0
0.899,168,9.0,2,1,3,2,2,0,7,6,0,0,0,0,0
0.91,29,21.0,2,0,3,4,1,0,7,5,0,0,1,1,1
0.727,50,7.0,0,0,3,5,1,0,7,0,1,1,1,1,1
0.754,48,7.0,2,0,3,3,2,1,1,1,0,0,0,0,0
0.899,25,2.0,2,0,0,3,2,1,0,6,0,0,0,0,0
0.91,10,1.0,2,1,3,2,2,0,7,6,0,0,0,0,0
0.624,55,15.0,2,0,3,4,1,0,7,1,1,1,1,1,1
0.91,26,6.0,2,0,3,4,1,1,4,0,1,0,0,0,0
0.92,45,16.0,2,0,3,4,1,1,1,5,0,0,0,0,0
0.92,118,4.0,2,0,3,4,1,1,3,0,0,0,0,0,0
0.701,46,3.0,2,1,0,4,1,0,7,0,1,1,1,1,1
0.926,21,15.0,2,0,3,4,1,1,5,1,0,0,0,0,0
0.92,102,4.0,2,0,3,4,1,6,0,0,0,0,0,0,0
0.866,72,7.0,2,0,3,5,1,1,2,0,0,0,0,0,0
0.92,57,21.0,2,0,3,4,1,1,2,5,0,0,0,0,0
0.939,42,10.0,2,0,3,4,1,1,0,0,0,0,0,0,0
0.903,4,10.0,0,0,0,4,1,1,5,2,0,0,0,0,0
0.624,74,3.0,0,1,0,4,1,0,7,6,0,1,1,1,1
0.923,64,21.0,2,0,3,5,1,5,8,5,0,0,0,0,0
0.624,9,10.0,0,0,3,4,1,1,3,0,1,1,1,1,1
0.843,22,14.0,2,0,3,4,1,5,1,1,0,0,0,0,0
0.8270000000000001,88,8.0,0,1,0,4,1,0,7,2,1,1,1,1,1
0.92,73,3.0,2,1,3,2,2,0,7,6,0,0,0,0,0
0.624,52,3.0,1,0,2,4,1,1,1,0,0,1,1,1,1
0.884,148,7.0,2,0,3,4,1,1,3,1,0,0,0,0,0
0.855,17,14.0,2,1,1,4,1,1,1,5,0,0,0,0,0
0.754,280,4.0,2,1,1,3,2,1,2,0,1,0,0,0,0
0.92,76,2.0,2,0,3,4,3,1,1,0,0,0,0,0,0
0.926,7,9.0,2,0,0,3,2,1,4,0,0,0,0,0,0
0.92,120,4.0,2,1,3,4,6,0,7,0,0,0,1,1,1
0.925,20,12.0,2,1,0,4,1,0,7,1,0,1,1,1,1
0.579,118,1.0,0,1,0,4,4,0,7,6,0,1,1,1,1
0.74,141,2.0,2,1,0,4,1,0,7,6,1,1,1,1,1
0.926,24,11.0,2,0,0,5,1,1,4,0,0,0,0,0,0
0.6659999999999999,190,14.0,2,0,3,4,1,1,1,1,0,0,1,0,0
0.939,105,15.0,2,0,3,4,1,4,6,5,0,0,0,0,0
0.91,6,19.0,2,0,3,4,1,0,7,0,0,0,1,1,1
0.91,89,12.0,2,0,3,4,1,1,1,3,0,0,0,0,0
0.92,42,3.0,1,0,3,4,1,1,4,0,0,0,0,0,0
0.887,106,6.0,2,0,3,4,5,0,7,0,1,0,1,1,1
0.897,94,12.0,2,0,3,5,1,5,8,0,0,0,0,0,0
0.92,29,21.0,2,0,3,4,1,0,7,0,0,0,1,1,1
0.8270000000000001,26,11.0,2,0,3,3,2,1,6,0,1,0,0,0,0
0.624,20,1.0,0,0,3,5,1,1,4,0,0,0,1,1,1
0.855,39,4.0,2,1,0,3,2,0,7,0,0,0,0,0,0
0.91,29,9.0,2,1,0,2,2,0,7,6,0,0,0,0,0
0.92,28,21.0,2,1,3,4,1,0,7,1,1,1,1,1,1
0.926,31,9.0,2,1,0,4,1,1,7,6,0,1,0,0,0
0.92,6,4.0,2,1,3,2,2,1,7,6,0,0,0,0,0
0.92,220,6.0,2,0,3,4,1,1,3,1,0,0,0,0,0
0.698,124,4.0,2,0,0,4,1,0,1,1,0,0,1,1,1
0.624,91,9.0,2,0,0,4,1,1,3,5,1,1,1,1,1
0.74,228,4.0,2,1,2,4,1,5,8,6,1,1,0,0,0
0.698,24,9.0,2,1,3,5,5,0,7,5,0,1,1,0,0
0.698,65,4.0,2,0,3,5,1,2,4,0,0,0,0,0,0
0.624,96,16.0,2,0,3,4,1,1,2,1,0,1,1,1,1
0.92,86,21.0,2,0,3,4,1,0,7,0,1,0,1,1,1
0.92,12,18.0,1,0,3,4,1,0,7,0,1,0,1,1,1
0.624,98,2.0,2,1,0,4,1,0,7,6,1,1,1,1,1
0.84,47,21.0,2,0,3,4,1,0,7,5,0,1,1,1,1
0.866,53,9.0,2,1,3,1,1,1,1,5,0,0,0,0,0
0.92,55,11.0,2,0,3,4,1,0,4,0,0,0,1,0,0
0.893,46,4.0,0,1,0,4,1,0,7,0,1,1,1,1,1
0.624,58,4.0,2,1,0,3,2,1,7,6,0,1,1,1,1
0.91,36,21.0,2,0,3,5,1,1,6,1,0,0,0,0,0
0.624,126,7.0,1,0,3,4,1,1,1,5,0,1,1,1,1
0.92,8,21.0,2,0,3,4,1,0,7,5,0,0,1,1,1
0.91,57,12.0,2,0,3,4,1,1,8,5,0,0,0,0,0
0.939,116,21.0,2,0,3,3,2,1,3,5,0,0,0,0,0
0.6890000000000001,52,10.0,2,0,3,4,1,6,4,0,0,0,1,0,0
0.939,250,11.0,1,0,3,5,1,1,2,5,0,0,0,0,0
0.92,43,7.0,2,0,3,4,1,1,0,0,1,0,0,0,0
0.939,57,21.0,2,0,3,4,2,1,1,2,0,1,0,0,0
0.92,102,5.0,1,0,3,4,1,1,3,0,0,0,0,0,0
0.887,86,15.0,2,1,3,4,4,4,1,5,0,0,0,0,0
0.92,23,21.0,1,0,3,1,1,1,4,1,0,0,0,0,0
0.624,25,7.0,2,1,0,3,2,0,7,1,0,1,1,1,1
0.92,48,6.0,2,1,0,3,2,1,7,6,0,0,0,0,0
0.624,31,21.0,2,0,3,4,1,1,8,5,0,1,1,1,0
0.92,14,21.0,2,0,3,4,3,1,8,6,0,0,0,0,0
0.926,41,8.0,2,0,3,3,2,1,4,5,0,0,0,0,0
0.624,61,8.0,0,0,3,5,1,6,0,0,0,0,1,1,1
0.926,111,15.0,2,0,0,4,1,1,4,0,0,0,0,0,0
0.92,78,4.0,0,0,0,4,1,0,1,4,1,0,1,0,0
0.866,94,7.0,2,0,0,4,1,0,7,1,0,1,1,1,1
0.884,62,1.0,2,0,3,4,6,0,7,0,1,0,1,1,1
0.92,55,21.0,2,0,3,5,1,0,7,5,0,0,0,1,1
0.698,51,9.0,3,0,2,0,2,0,0,0,1,0,0,0,0
0.624,145,3.0,0,1,2,3,2,0,7,4,0,1,1,1,1
0.949,149,20.0,2,0,3,3,2,0,7,6,0,0,0,0,0
0.624,16,2.0,2,0,3,4,1,1,6,1,0,1,1,1,1
0.767,50,3.0,0,1,0,2,2,0,7,0,1,0,0,1,1
0.624,75,2.0,2,1,3,5,1,4,5,0,1,1,1,1,1
0.92,72,12.0,2,0,3,4,4,1,3,1,0,0,0,0,0
0.92,39,10.0,2,0,0,4,4,1,1,2,0,0,0,0,0
0.949,34,21.0,2,0,3,5,1,1,4,0,0,0,0,0,0
0.855,46,5.0,2,0,3,5,1,0,1,0,0,0,0,0,0
0.92,130,21.0,2,0,3,0,2,1,1,0,0,0,0,0,0
0.939,100,4.0,1,0,3,4,4,6,4,0,0,0,0,0,0
0.92,100,12.0,1,0,3,4,1,1,2,1,0,0,0,0,0
0.92,56,21.0,1,0,3,0,2,0,7,5,0,0,0,0,0
0.926,164,21.0,2,0,3,4,1,1,1,0,0,0,0,0,0
0.92,20,10.0,2,0,3,5,1,6,0,0,0,0,0,0,0
0.698,107,2.0,2,1,0,4,1,0,7,0,1,1,1,1,1
0.949,306,18.0,0,0,1,5,4,1,1,0,0,0,0,0,0
0.92,226,13.0,2,1,3,4,4,0,7,5,0,0,1,1,1
0.91,111,8.0,2,0,3,3,2,1,1,5,0,0,0,0,0
0.762,48,21.0,2,0,3,4,1,1,1,0,0,0,0,0,0
0.701,72,9.0,2,1,3,2,2,0,7,6,0,0,0,0,0
0.92,39,5.0,2,1,1,4,1,1,3,0,0,0,0,0,0
0.624,4,10.0,2,0,3,5,1,1,1,3,0,1,1,1,1
0.767,13,4.0,2,1,0,4,1,0,7,0,1,1,1,1,1
0.767,94,12.0,0,0,1,4,1,0,7,6,0,1,1,1,1
0.8959999999999999,80,19.0,2,0,1,4,1,1,4,0,0,0,0,0,0
0.926,12,21.0,2,0,3,3,2,1,8,6,0,0,0,0,0
0.92,9,9.0,2,0,3,4,1,1,4,0,0,0,0,0,0
0.92,26,2.0,2,0,3,1,1,5,8,0,0,0,0,0,0
0.925,29,10.0,2,0,3,4,1,1,1,5,1,0,0,0,0
0.949,11,6.0,2,0,3,4,1,1,3,0,0,0,0,0,0
0.698,15,3.0,2,1,0,4,4,0,7,6,0,1,1,1,1
0.895,14,3.0,2,0,3,5,1,6,0,0,0,0,0,0,0
0.624,19,4.0,0,0,3,4,1,0,4,4,1,1,1,1,1
0.92,90,21.0,3,0,3,4,5,0,7,5,0,0,1,1,1
0.91,40,14.0,2,0,0,4,1,1,1,1,0,0,0,0,0
0.624,160,5.0,2,0,0,4,1,1,5,3,1,1,1,1,1
0.92,89,4.0,2,0,3,4,1,1,4,1,0,0,0,0,0
0.92,50,20.0,2,0,3,4,1,4,2,5,0,0,0,0,0
0.767,149,1.0,0,0,0,4,1,1,0,6,0,0,0,1,1
0.893,38,21.0,2,0,3,4,1,1,1,5,0,0,0,0,0
0.926,113,17.0,2,0,3,5,4,1,8,0,0,0,0,0,0
0.698,24,21.0,2,0,3,4,1,4,1,2,0,1,0,0,0
0.924,17,8.0,2,0,3,4,1,1,5,5,0,0,0,0,0
0.624,37,8.0,2,0,3,4,1,1,3,6,1,1,1,1,1
0.754,121,6.0,0,0,3,4,1,1,4,0,0,0,0,1,1
0.92,40,9.0,2,0,3,1,1,6,1,0,0,0,0,0,0
0.624,7,11.0,2,0,0,5,1,1,1,3,1,0,1,1,1
0.767,31,9.0,0,1,3,4,5,4,1,2,0,0,0,0,0
0.92,128,21.0,2,0,3,1,1,1,1,5,0,0,0,0,0
