indice_desenvolvimento_cidade,horas_formacao,anos_exp_num,genero,experiencia_relevante,inscricao_universidade,nivel_educacao,area_formacao,tipo_empresa,dimensao_empresa,anos_desde_ultimo_emprego,target
0.624,128,16.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.887,31,9.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,1
0.647,21,5.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,4 anos,0
0.555,29,2.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.92,28,2.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Desconhecido,Desconhecido,2 anos,0
0.939,13,21.0,Desconhecido,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10000 ou mais,Mais de 4 anos,0
0.92,60,5.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,500 a 999,2 anos,0
0.624,29,4.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,2 anos,1
0.91,100,11.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,Mais de 4 anos,0
0.92,54,4.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.92,168,4.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.55,67,3.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.624,14,1.0,Masculino,Com experiência relevante,Desconhecido,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.754,158,4.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Empresa privada,10000 ou mais,1 ano,0
0.624,51,3.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,1 ano,1
0.887,22,4.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,0
0.804,13,5.0,Masculino,Com experiência relevante,Curso a tempo parcial,Ensino Básico,Desconhecido,Desconhecido,Desconhecido,1 ano,0
0.92,145,21.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,2 anos,1
0.92,52,9.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,100 a 500,1 ano,0
0.926,55,14.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,3 anos,0
0.754,23,9.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,Desconhecido,Nunca,0
0.895,94,12.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.682,105,13.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.624,34,3.0,Feminino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,Menos de 10,2 anos,1
0.624,23,9.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.802,124,5.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,4 anos,0
0.899,69,14.0,Masculino,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,1 ano,0
0.925,54,15.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,0
0.8270000000000001,188,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Mais de 4 anos,0
0.624,79,3.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Nunca,0
0.624,84,6.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,1
0.926,4,4.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Desconhecido,0
0.897,52,21.0,Masculino,Com experiência relevante,Não inscrito,Desconhecido,Desconhecido,Empresa privada,10000 ou mais,Mais de 4 anos,0
0.92,84,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,0
0.804,27,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Mais de 4 anos,0
0.939,64,21.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.926,145,15.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Outro,Empresa privada,1000 a 4999,1 ano,0
0.92,166,9.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,Desconhecido,Nunca,0
0.55,6,2.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",ONG,50 a 99,1 ano,0
0.923,10,6.0,Masculino,Com experiência relevante,Curso a tempo parcial,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Mais de 4 anos,0
0.939,99,6.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Empresa privada,Desconhecido,Nunca,0
0.527,300,2.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,1 ano,1
0.92,52,4.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,3 anos,0
0.789,11,8.0,Feminino,Com experiência relevante,Curso a tempo inteiro,Doutoramento,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Mais de 4 anos,0
0.92,55,3.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Setor público,1000 a 4999,1 ano,0
0.924,102,3.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,5000 a 9999,1 ano,0
0.89,29,5.0,Desconhecido,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,Nunca,0
0.698,31,3.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Empresa privada,Desconhecido,Nunca,0
0.887,16,18.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,2 anos,0
0.92,194,13.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.926,80,11.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,3 anos,0
0.624,156,5.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.91,56,15.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.92,66,6.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,2 anos,0
0.926,158,18.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.926,12,15.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,1 ano,0
0.855,3,8.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Mais de 4 anos,0
0.802,64,12.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,Nunca,0
0.55,26,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,1 ano,1
0.897,27,7.0,Desconhecido,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,500 a 999,1 ano,0
0.92,154,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Desconhecido,Desconhecido,2 anos,0
0.92,50,16.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Mais de 4 anos,0
0.926,65,1.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.887,116,10.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Mais de 4 anos,0
0.926,56,8.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,50 a 99,1 ano,0
0.91,144,16.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,1 ano,0
0.91,112,10.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,1 ano,0
0.92,111,6.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Setor público,50 a 99,2 anos,1
0.836,31,9.0,Desconhecido,Sem experiência relevante,Não inscrito,Licenciatura,Gestão e Negócios,Desconhecido,Desconhecido,1 ano,1
0.92,11,4.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Artes,Startup em fase inicial,100 a 500,4 anos,0
0.92,21,6.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Empresa privada,10 a 49,1 ano,1
0.926,105,5.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,4 anos,0
0.624,23,2.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,1 ano,0
0.698,22,2.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Desconhecido,1 ano,1
0.926,14,15.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.855,30,4.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,3 anos,0
0.897,23,6.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,0
0.555,25,9.0,Desconhecido,Sem experiência relevante,Não inscrito,Licenciatura,Gestão e Negócios,Desconhecido,Desconhecido,Nunca,1
0.92,140,13.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Mais de 4 anos,0
0.92,13,18.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",ONG,10 a 49,2 anos,0
0.926,24,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup em fase inicial,50 a 99,1 ano,0
0.92,15,21.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,5000 a 9999,1 ano,0
0.624,20,1.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup em fase inicial,10 a 49,Nunca,0
0.769,50,2.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.92,6,4.0,Masculino,Sem experiência relevante,Não inscrito,Mestrado,Artes,Desconhecido,Desconhecido,1 ano,1
0.939,106,12.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,3 anos,0
0.92,74,6.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,1 ano,0
0.884,306,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,4 anos,0
0.8270000000000001,107,2.0,Masculino,Com experiência relevante,Desconhecido,Licenciatura,Outro,Desconhecido,10 a 49,Nunca,0
0.949,24,9.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,Menos de 10,3 anos,0
0.92,6,18.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,1 ano,0
0.762,22,12.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,1 ano,0
0.884,112,4.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,2 anos,0
0.91,96,12.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Mais de 4 anos,0
0.92,51,19.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.926,200,14.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.624,39,3.0,Desconhecido,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,3 anos,0
0.527,7,2.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,100 a 500,Nunca,1
0.836,13,19.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Nunca,1
0.743,17,4.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,0
0.924,50,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",ONG,1000 a 4999,4 anos,0
0.624,109,11.0,Desconhecido,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,Mais de 4 anos,1
0.6890000000000001,4,6.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,500 a 999,Nunca,0
0.804,21,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,1
0.624,48,7.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,Mais de 4 anos,0
0.624,32,10.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,1 ano,1
0.92,204,10.0,Desconhecido,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,Mais de 4 anos,0
0.939,90,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.6890000000000001,140,16.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,Mais de 4 anos,0
0.92,25,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,Mais de 4 anos,0
0.939,54,2.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Empresa privada,500 a 999,1 ano,0
0.92,31,11.0,Outro,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,1
0.884,38,7.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,1
0.92,104,5.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",ONG,10 a 49,1 ano,0
0.895,36,16.0,Outro,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,1 ano,0
0.91,90,8.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,1000 a 4999,1 ano,0
0.836,36,2.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,Humanidades,Empresa privada,100 a 500,1 ano,0
0.91,272,14.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",ONG,1000 a 4999,4 anos,0
0.767,54,9.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,1
0.92,96,6.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,100 a 500,1 ano,0
0.926,50,5.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,10000 ou mais,1 ano,0
0.897,52,21.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10 a 49,2 anos,0
0.8270000000000001,18,4.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Startup em fase inicial,50 a 99,1 ano,1
0.926,268,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,500 a 999,Mais de 4 anos,0
0.92,13,14.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Empresa privada,100 a 500,4 anos,0
0.55,18,7.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,1
0.624,21,5.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.624,9,6.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Desconhecido,1 ano,1
